id	open	Q	A	Interp	Primary_id	Alter_id	Day_Stem	A_length	Day_Branch	Month_Branch
3	0	Is Lanxiang Technical School really awesome?	The overall environment supports the development of the learners, but adaptation to intense competition is necessary.	The line in the generation position, water of Hai, moves and clashes with the response line, fire of Si. Within the hexagram, the energy of gold supports the generation position. The six harmony gold configuration is stable. The overall trend is relatively auspicious, with only minor setbacks.	15	37	ji	117.0	you	you
6	1	Seven people, including the father and sons, were asked how the case should proceed.	In the Six Conflicts hexagram, the subject line is temporarily broken by the month, ultimately leading to a sentence of three years imprisonment.	In the hexagram, the line of Children is unstable; the moving line overcomes the self line, indicating an unfavorable outcome and a fear of sentencing.	57	58	xin	145.0	hai	mao
18	1	The mysterious phenomenon at the Yangzhou Han tomb has been intriguing. When tourists used their cameras to take pictures, they observed very strange occurrences through the lens. A woman saw only a transparent, blurred outline of herself in the camera. It was to the extent that one could see the railing behind her through her body. The photos taken also showed the same scene. Even more curious, when a man stood in the exact same spot, the view through the camera appeared normal. At that time, Yangzhou TV station also issued an announcement seeking a reasonable explanation.	Phenomena are not permanent; they are now gone.	From the hexagram's perspective, the presence of the Parents element as the sole active water can represent the cause. In the six lines, it represents the heavens, where water can be understood as moisture in the air. Positioned with Hook Snake, it signifies staying in place and aligns with the day’s wealth element representing females. Parents also symbolize information, thereby explaining such a phenomenon, which should be a reflection created by light and moisture in the air.	48	57	ji	47.0	chou	shen
19	0	"Is it feasible to use the prescription of ""Gold Dissolving Kidney Qi Pills"" for self-divination to regulate and nourish the body?"	Look at the image of a solitary activation. If there is another moving line, it is discussed as a transformation returning to engendering.	Medicine is considered the useful spirit, but one should also observe the movement and changes of the principal line in the hexagram. In this hexagram, the principle line transforms into fire which is already in its declining cycle. Taking this medicine may cause one to become irritable, with a dry mouth and tongue, weak lower limbs, and poor effectiveness.	40	16	ren	138.0	chen	shen
20	1	My wife, who rents a clothing stall in a county outside, has been experiencing poor business recently. She consulted an I Ching hexagram to see when there might be a change for the better.	It is one's own bad luck, rather than the shop's feng shui or management method being incorrect; such hexagrams are exceedingly difficult to resolve.	This hexagram involves a single moving line. Although the finances are supported by the month and day, indicating a prosperous state, the moving line of you gold is in a death position for the financial line. The judgment is primarily based on the imagery of the twelve stages of growth, so financial fortune is certainly not good. The world at the sibling position indicates that one's own luck is poor, rather than issues with the store's feng shui or business methods. Resolving such a hexagram is highly challenging.	49	55	wu	149.0	wu	wei
21	0	Is the traditional Chinese medicine being consumed beneficial to the body?	Should belong to excessive abundance.	This hexagram has the Subject line supported by the moon and activated by the day, transforming into an advancing spirit that is overly strong. The Subject line is supported by the moon and activated by the day, additionally transforming into an advancing state. The six yao (lines) are secretly activated to provide further support. The second yao is the original spirit, initially emerging as the original spirit. The use of the original spirit results in a total of seven original spirits being obtained.	55	31	ren	37.0	chen	shen
27	0	Is it true that an engineer at a certain company said they want to buy new equipment?	The actual feedback was later proactively receiving 5000 yuan for repair costs and signing a new equipment purchase contract.	The sale of equipment relies on wealth being useful, yet wealth within the hexagram is in a state of rest and does not appear in the hexagram, with parents and siblings both active, seeking wealth is like climbing a tree to find fish. The contract is represented by the first line of the Parents, Chen soil, which is vigorous and actively moving but transforms into emptiness and destruction, making it difficult to accomplish.	41	43	xin	125.0	wu	wei
28	0	The graduation certificate is lost, can it be found?	Finally, the graduation certificate was found in an inconspicuous corner of the house.	Hidden beneath the world line, it indicates a great opportunity for retrieval. Wife and Wealth in emptiness and death, patience is required to await the opportunity.	48	46	ren	86.0	shen	mao
29	0	Is it possible to successfully pass the interview?	The actual feedback was not approved.	The hexagram indicates that the Sibling of the fire of Wu is active and dominant, restraining the useful spirit of the Demons. This shows intense competition, making it difficult to succeed.	30	6	yi	37.0	hai	si
30	1	When will the loved one return home?	The final feedback is that the loved one returns on the seventh day of the month of Shen.	The line of the world is vibrant with water in Hai, situated on the day, and moving, with an indication that the time of return is in the month of Shen. The world is situated on the day chen, generating harmony, showing the willingness to return.	13	37	gui	89.0	chen	wei
31	0	Will the lost item be recovered?	The lost item was returned by the neighbor the next day because it had been left outside the door.	The significator Parents line rests on the day structure and remains inactive, indicating the lost item has not left the home and requires careful searching. The wealth line is not apparent in the hexagram; it is advised to patiently await news.	48	26	geng	98.0	zi	wu
32	0	Will the examination be successfully passed?	The final feedback indicates a passing grade, successfully passing the exam.	The line representing Children is strong and transforms into retreat, indicating that there are certain challenges in the examination, but effort can lead to success. The self line is supported by the line representing Wife and Wealth, showing that the seeker has a substantial hope of passing smoothly.	37	24	xin	76.0	you	si
33	1	When will the important documents be received?	The feedback document will be delivered at noon the next day.	The document uses the Parents line as the useful god, which is flourishing and moving, and also aligns with the month and day stems, indicating it will be received soon. The subject line is upon Demons, suggesting attention is needed for the related process.	59	44	yi	61.0	hai	shen
34	0	Can the misunderstanding between my friend and I be resolved?	The feedback indicates that both parties have reconciled and the misunderstanding has been successfully resolved.	"The line in question is supported by the day, indicating that the seeker's intentions are strong.  
The signifier Sibling transforms into auspiciousness, suggesting a higher likelihood of reconciliation between both parties."	40	42	gui	113.0	shen	wei
